date,equity,cash,position_value,open_positions,exposure,turnover_cash,regime,daily_return
2022-07-25,959014.8633881193,468308.7219286862,490706.141459433,2,0.5116773057362315,38758546.32444327,bear,0.00556201523198685
2022-07-26,956103.9482862286,468308.7219286862,487795.22635754244,2,0.5101905783695303,38758546.32444327,bear,-0.003035318025840228
2022-07-27,956671.4033196752,468308.7219286862,488362.681390989,2,0.5104811115879052,38758546.32444327,bear,0.0005935076771346193
2022-07-28,964673.1713816966,468308.7219286862,496364.44945301046,2,0.5145415713614904,38758546.32444327,bear,0.008364176073681007
2022-07-29,964512.8976396704,468308.7219286862,496204.1757109843,2,0.5144609024153867,38758546.32444327,bear,-0.00016614304904594146
2022-08-01,961441.7087957538,468308.7219286862,493132.9868670676,2,0.5129099168006113,38758546.32444327,bear,-0.003184186392356514
2022-08-02,953356.5553945417,468308.7219286862,485047.83346585557,2,0.5087790404557726,38758546.32444327,bear,-0.008409405715650742
2022-08-03,946025.84305914,468308.7219286862,477717.1211304539,2,0.5049725910083724,38758546.32444327,bear,-0.007689371089883434
2022-08-04,939449.5717895487,468308.7219286862,471140.8498608625,2,0.5015073336649573,38758546.32444327,bear,-0.0069514710595280915
2022-08-05,946700.1472539373,468308.7219286862,478391.42532525107,2,0.5053251831774883,38758546.32444327,bear,0.007717897460506551
2022-08-08,946159.4045108285,468308.7219286862,477850.68258214236,2,0.5050424699093856,38758546.32444327,bear,-0.0005711869219385823
2022-08-09,942200.213149413,468308.7219286862,473891.49122072686,2,0.5029626236622149,38758546.32444327,bear,-0.004184486612446081
2022-08-10,941579.3335352913,468308.7219286862,473270.611606605,2,0.5026348760540913,38758546.32444327,bear,-0.0006589678132701282
2022-08-11,946105.9799301531,468308.7219286862,477797.258001467,2,0.5050145207165276,38758546.32444327,bear,0.004807503981492323
2022-08-12,968285.1029687221,468308.7219286862,499976.38104003586,2,0.5163524456868426,38758546.32444327,bear,0.02344253551827924
2022-08-15,989519.5504409394,468308.7219286862,521210.8285122531,2,0.5267312083727872,38758546.32444327,neutral,0.021929953695573046
2022-08-16,993888.2824691653,134142.05526201957,859746.2272071457,3,0.8650330649549827,39091879.65777661,neutral,0.00441500324705979
2022-08-17,999251.6697200714,134142.05526201957,865109.6144580519,3,0.8657574870006494,39091879.65777661,neutral,0.00539636832983037
2022-08-18,1000356.6190284493,134142.05526201957,866214.5637664297,3,0.865905765293682,39091879.65777661,neutral,0.001105776794636082
2022-08-19,989024.7585805336,134142.05526201957,854882.7033185139,3,0.8643693657835798,39091879.65777661,neutral,-0.011327820731492078
2022-08-22,974429.8610761964,134142.05526201957,840287.8058141769,3,0.8623379058664438,39091879.65777661,neutral,-0.014756857578857807
2022-08-23,965773.9749504172,134142.05526201957,831631.9196883976,3,0.8611040898374731,39091879.65777661,bear,-0.008883026343444955
2022-08-24,973813.3657464031,134142.05526201957,839671.3104843835,3,0.8622507556576786,39091879.65777661,bear,0.008324298443016742
2022-08-25,976262.0402199836,134142.05526201957,842119.984957964,3,0.8625962602911479,39091879.65777661,neutral,0.002514521323810026
2022-08-26,977896.2936648368,134142.05526201957,843754.2384028172,3,0.8628258884597068,39091879.65777661,neutral,0.0016739905655709375
2022-08-29,957196.1115287684,463441.52050266124,493754.5910261072,2,0.5158343050908513,39422004.43496021,bear,-0.02116807505066909
2022-08-30,961749.4702139681,463441.52050266124,498307.94971130684,2,0.518126565331452,39422004.43496021,bull,0.004756975744424352
2022-08-31,964107.7083364613,129274.85383599461,834832.8545004667,3,0.8659124362162248,39755337.768293545,bull,0.0024520295519046
2022-09-01,949635.2277189926,129274.85383599461,820360.373882998,3,0.8638689361319182,39755337.768293545,neutral,-0.015011269479880518
